data,final,abertura,maxima,minima,volume,variacao
05.02.2021,142.5,142.65,143.8,141.95,0.14,0.10
04.02.2021,142.6,141.15,142.6,139.7,0.00,-0.15
03.02.2021,142.45,142.2,142.6,141,0.00,-0.25
02.02.2021,142.2,143.2,144.2,142,0.12,1.30
01.02.2021,143.5,143.45,144.5,142.6,0.01,-1.85
29.01.2021,141.65,141.7,142.15,140.25,0.02,0.10
28.01.2021,141.75,143.15,143.5,140.6,0.01,1.25
27.01.2021,143,142.95,144.3,142.3,0.02,0.40
26.01.2021,143.4,142.55,145,142.5,0.01,-0.90
22.01.2021,142.5,145.05,145.55,142.5,0.05,2.20
21.01.2021,144.7,142.25,145.55,142.25,0.01,-2.10
20.01.2021,142.6,143.75,144,142.1,0.01,1.90
19.01.2021,144.5,144.45,146.95,143.8,0.01,-0.45
18.01.2021,144.05,143.5,145.55,143.5,0.02,0.40
15.01.2021,144.45,145.5,148.25,144.45,0.05,1.25
14.01.2021,145.7,141.75,145.7,140.75,0.03,-4.70
13.01.2021,141,139.85,142,138.5,0.00,-2.85
12.01.2021,138.15,137.5,139.1,136.95,0.07,-0.90
11.01.2021,137.25,139.3,139.3,136.75,0.06,2.75
08.01.2021,140,136.6,140.6,136.15,0.06,-2.65
07.01.2021,137.35,139,139.85,136.45,0.01,1.15
06.01.2021,138.5,140.45,141.15,137.8,0.02,2.00
05.01.2021,140.5,141.8,142.3,139.45,0.00,1.40
04.01.2021,141.9,142.1,143.6,141.05,0.01,-1.00
30.12.2020,140.9,140.95,142.2,140.3,0.00,0.10
29.12.2020,141,139.3,141.35,138.5,0.02,-2.60
28.12.2020,138.4,139.35,140.5,136.5,0.00,0.90
23.12.2020,139.3,139,140.45,139,0.00,0.25
22.12.2020,139.55,140,141.6,138.85,0.01,-0.50
21.12.2020,139.05,137,140.25,136.6,0.01,1.45
18.12.2020,140.5,138,140.5,138,0.01,-0.70
17.12.2020,139.8,139.8,139.8,139.8,0,0.00
16.12.2020,139.8,139.8,139.8,139.8,0,-2.60
15.12.2020,137.2,137.2,137.2,137.2,0,0.60
14.12.2020,137.8,137.8,137.8,137.8,0,-5.90
11.12.2020,131.9,131.9,131.9,131.9,0,-0.75
10.12.2020,131.15,131.15,131.15,131.15,0,-4.85
09.12.2020,126.3,126.3,126.3,126.3,0,2.90
08.12.2020,129.2,129.2,129.2,129.2,0,-0.20
07.12.2020,129,129,129,129,0,-2.10
04.12.2020,126.9,126.9,126.9,126.9,0,03.05
03.12.2020,129.95,127.85,127.85,127.85,0.00,-1.05
02.12.2020,128.9,128.5,128.5,128,0.01,-1.60
01.12.2020,127.3,131,131.3,131,0.02,6.70
30.11.2020,134,131.75,131.75,130,0.02,1.30
27.11.2020,135.3,130.5,131.6,128.65,0.07,-9.50
26.11.2020,125.8,124,127,123.25,0.06,-1.80
25.11.2020,124,124.1,127.15,123.75,0.02,-0.95
24.11.2020,123.05,125.5,125.5,121.65,0.00,1.95
23.11.2020,125,127.2,128.2,124.35,0.01,2.60
20.11.2020,127.6,129.5,132,125.45,0.02,1.65
19.11.2020,129.25,128.35,131,128.35,0.02,0.25
18.11.2020,129.5,129,131.9,127.1,0.02,-2.85
17.11.2020,126.65,125.7,127.5,125.05,0.00,-0.80
16.11.2020,125.85,118,127.15,118,0.00,-6.40
13.11.2020,119.45,119.95,120.1,119,0.00,0.50
12.11.2020,119.95,119.15,120.95,118.55,0.00,0.05
11.11.2020,120,120.7,121.5,119.1,0.01,-0.60
10.11.2020,119.4,118,120.1,118,0.00,-0.35
09.11.2020,119.05,117.5,122.65,117,0.01,0.20
06.11.2020,119.25,113.9,119.25,113.9,0.02,-3.95
05.11.2020,115.3,112.7,115.6,112.7,0.01,-3.00
04.11.2020,112.3,112.8,113,111.5,0.00,0.85
03.11.2020,113.15,113.3,114.2,112.75,0.01,0.15
30.10.2020,113.3,113.55,115.55,113.15,0.02,1.40
29.10.2020,114.7,113.2,115.55,112.25,0.02,-0.65
28.10.2020,114.05,114.25,115,113.1,0.01,1.65
27.10.2020,115.7,115.5,116.9,114.7,0.02,-0.75
26.10.2020,114.95,115,115.35,114,0.01,-1.10
23.10.2020,113.85,114.25,114.25,113,0.01,0.05
22.10.2020,113.9,112,114.65,111.75,0.00,-1.05
21.10.2020,112.85,112.2,115.5,111.5,0.05,-0.60
20.10.2020,112.25,112.65,113.8,110.75,0.00,2.15
19.10.2020,114.4,114.5,115,113.15,0.02,0.20
16.10.2020,114.6,116.75,117.6,114.1,0.04,2.95
15.10.2020,117.55,118.7,118.7,113,0.41,-0.35
14.10.2020,117.2,117,119.5,116.8,0.02,0.55
13.10.2020,117.75,115.5,119.1,115.5,0.26,0.45
09.10.2020,118.2,117.6,120.2,116.5,0.30,-0.75
08.10.2020,117.45,117,117.75,115.25,0.01,-1.35
07.10.2020,116.1,113.5,117,113,0.27,-2.45
06.10.2020,113.65,113.95,116,113.65,0.16,1.25
05.10.2020,114.9,113,115,112.05,0.01,-1.10
02.10.2020,113.8,112.75,115.5,110.7,0.06,-0.90
01.10.2020,112.9,116.55,116.55,112,0.04,4.10
30.09.2020,117,117.6,118.1,116.25,0.02,0.20
29.09.2020,117.2,114.6,117.3,114.6,0.05,-2.35
28.09.2020,114.85,120.5,121.25,114.2,0.04,5.60
25.09.2020,120.45,117.5,121.5,117,0.02,-2.50
24.09.2020,117.95,117.85,118,115.75,0.01,-0.95
23.09.2020,117,115.5,119.2,114.1,0.01,-0.55
22.09.2020,116.45,112,116.45,112,0.02,-2.95
21.09.2020,113.5,113.5,113.5,113.5,0,-0.70
18.09.2020,112.8,112.8,112.8,112.8,0,5.95
17.09.2020,118.75,118.75,118.75,118.75,0,3.25
16.09.2020,122,125.4,125.4,125.4,0.00,2.20
15.09.2020,124.2,124.2,124.2,124.2,0,1.80
14.09.2020,126,126,126,126,0,12.45
11.09.2020,138.45,138.45,138.45,138.45,0,-1.10
10.09.2020,137.35,137.35,137.35,137.35,0,-3.75
09.09.2020,133.6,133.6,133.6,133.6,0,4.15
08.09.2020,137.75,137.75,137.75,137.75,0,2.65
04.09.2020,140.4,140.4,140.4,140.4,0,-4.25
03.09.2020,136.15,135,135,135,0.19,-0.15
02.09.2020,136,136,136,136,0,0.55
01.09.2020,136.55,141,141,141,0.07,-2.80
31.08.2020,133.75,132,135,132,0.02,-4.70
28.08.2020,129.05,122.5,127.5,120.5,0.03,-5.50
27.08.2020,123.55,125,126.85,122,0.08,2.50
26.08.2020,126.05,127.7,127.7,125.5,0.01,-0.05
25.08.2020,126,121.75,126,121.45,0.00,-6.00
24.08.2020,120,119.05,123,119,0.08,-1.00
21.08.2020,119,118.8,120.4,114.9,0.01,-1.40
20.08.2020,117.6,117.9,118.1,117,0.01,-0.10
19.08.2020,117.5,117.95,120.45,115.25,0.10,1.00
18.08.2020,118.5,117.75,119,116.3,0.01,-1.75
17.08.2020,116.75,116,117,115,0.00,-1.70
14.08.2020,115.05,117.2,118.85,115,0.09,1.50
13.08.2020,116.55,112,117.4,112,0.01,-3.00
12.08.2020,113.55,114.5,116,112,0.01,0.15
11.08.2020,113.7,113,114.9,112.25,0.01,0.55
10.08.2020,114.25,118.55,119.6,114.2,0.01,3.75
07.08.2020,118,121.05,123,116.5,0.01,2.80
06.08.2020,120.8,124.8,125.5,120.8,0.01,4.50
05.08.2020,125.3,125,126.8,123.25,0.00,-2.50
04.08.2020,122.8,121.95,124,121.95,0.00,-3.80
03.08.2020,119,120.5,123.7,118.65,0.02,2.70
31.07.2020,121.7,117.5,122.85,117.5,0.02,-3.10
30.07.2020,118.6,116,119.85,115.75,0.01,-4.15
29.07.2020,114.45,114,115.6,113.85,0.01,-1.45
28.07.2020,113,113.05,114,111.25,0.11,-0.25
27.07.2020,112.75,114.5,115,112.3,0.02,0.25
24.07.2020,113,112.65,113,110.5,0.10,-1.00
23.07.2020,112,113.1,113.4,110.5,0.05,-0.40
22.07.2020,111.6,121.65,121.65,111.6,0.02,04.05
21.07.2020,115.65,115.65,115.65,115.65,0,-2.65
20.07.2020,113,113,113,113,0,3.35
17.07.2020,116.35,116.35,116.35,116.35,0,-5.25
16.07.2020,111.1,111.1,111.1,111.1,0,-1.50
15.07.2020,109.6,109.6,109.6,109.6,0,1.00
14.07.2020,110.6,110.6,110.6,110.6,0,0.95
13.07.2020,111.55,111.55,111.55,111.55,0,-1.65
10.07.2020,109.9,109.9,109.9,109.9,0,02.05
09.07.2020,111.95,111.95,111.95,111.95,0,1.65
08.07.2020,113.6,113.6,113.6,113.6,0,0.40
07.07.2020,114,114,114,114,0,-2.70
06.07.2020,111.3,111.3,111.3,111.3,0,6.70
03.07.2020,118,118,118,118,0,0.00
02.07.2020,118,118,118,118,0,01.05
01.07.2020,119.05,119.05,119.05,119.05,0,-3.95
30.06.2020,115.1,115.1,115.1,115.1,0,-1.85
29.06.2020,113.25,113.25,113.25,113.25,0,-3.95
26.06.2020,109.3,109.3,109.3,109.3,0,-1.05
25.06.2020,108.25,108.25,108.25,108.25,0,2.40
24.06.2020,110.65,110.65,110.65,110.65,0,-0.55
23.06.2020,110.1,110.1,110.1,110.1,0,-0.40
22.06.2020,109.7,109.7,109.7,109.7,0,-2.90
19.06.2020,106.8,106.8,106.8,106.8,0,1.10
18.06.2020,107.9,107.9,107.9,107.9,0,2.20
17.06.2020,110.1,110.1,110.1,110.1,0,-3.45
16.06.2020,106.65,106.65,106.65,106.65,0,0.45
15.06.2020,107.1,107.1,107.1,107.1,0,1.60
12.06.2020,108.7,108.7,108.7,108.7,0,02.05
10.06.2020,110.75,110.75,110.75,110.75,0,1.40
09.06.2020,112.15,112.15,112.15,112.15,0,1.45
08.06.2020,113.6,113.6,113.6,113.6,0,0.00
05.06.2020,113.6,113.6,113.6,113.6,0,-1.00
04.06.2020,112.6,112.6,112.6,112.6,0,1.25
03.06.2020,113.85,113.85,113.85,113.85,0,-1.20
02.06.2020,112.65,112.65,112.65,112.65,0,0.15
01.06.2020,112.8,112.8,112.8,112.8,0,-2.65
29.05.2020,110.15,110.15,110.15,110.15,0,3.70
28.05.2020,113.85,113.85,113.85,113.85,0,4.50
27.05.2020,118.35,118.35,118.35,118.35,0,3.45
26.05.2020,121.8,121.8,121.8,121.8,0,-2.00
25.05.2020,119.8,119.8,119.8,119.8,0,0.00
22.05.2020,119.8,119.8,119.8,119.8,0,-9.80
21.05.2020,110,110,110,110,0,1.10
20.05.2020,111.1,111.1,111.1,111.1,0,1.70
19.05.2020,112.8,112.8,112.8,112.8,0,0.85
18.05.2020,113.65,113.65,113.65,113.65,0,-1.20
15.05.2020,112.45,112.45,112.45,112.45,0,0.15
14.05.2020,112.6,112.6,112.6,112.6,0,-1.80
13.05.2020,110.8,110.8,110.8,110.8,0,2.70
12.05.2020,113.5,113.5,113.5,113.5,0,4.45
11.05.2020,117.95,117.95,117.95,117.95,0,1.50
08.05.2020,119.45,119.45,119.45,119.45,0,-3.50
07.05.2020,115.95,115.95,115.95,115.95,0,2.50
06.05.2020,118.45,118.45,118.45,118.45,0,-0.65
05.05.2020,117.8,117.8,117.8,117.8,0,-4.35
04.05.2020,113.45,111,111,111,0.10,-1.20
