,data,preco_anterior_br,preco_2_anterior_br,var_preco_anterior_2_anterior_br,preco_robusta_br,preco_eua,preco_anterior_eua,preco_2_anterior_eua,var_preco_anterior_2_anterior_eua,preco_robusta_eua,ano,dolar,preco_br
4,06/01/2012,476.49,481.49,-5,297.48,259.93,259.25,263.25,0.68,160.45,2012,1.8579,481.91
5,09/01/2012,481.91,476.49,5.42,298.70,265.73,259.93,259.25,5.8,162.51,2012,1.8329,488.41
6,10/01/2012,488.41,481.91,6.5,297.90,272.6,265.73,259.93,6.87,165.23,2012,1.7995,491.5
7,11/01/2012,491.5,488.41,03.09,300.00,280.2,272.6,265.73,7.6,166.57,2012,1.803,504.65
8,12/01/2012,504.65,491.5,13.15,300.62,281.08,280.2,272.6,0.88,168.41,2012,1.778,501.74
9,13/01/2012,501.74,504.65,-2.91,298.82,274.59,281.08,280.2,-6.49,166.66,2012,1.7849,492.34
10,16/01/2012,492.34,501.74,-9.4,300.26,273.15,274.59,281.08,-1.44,168.21,2012,1.7859,487.57
11,17/01/2012,487.57,492.34,-4.77,300.01,273.3,273.15,274.59,0.15,168.83,2012,1.788,485.66
12,18/01/2012,485.66,487.57,-1.91,301.61,279.0,273.3,273.15,5.7,170.88,2012,1.7649,492.43
13,19/01/2012,492.43,485.66,6.77,300.70,279.74,279,273.3,0.74,170.18,2012,1.7655,494.29
14,20/01/2012,494.29,492.43,1.86,302.40,280.97,279.74,279,1.23,171.92,2012,1.7548,494.23
15,23/01/2012,494.23,494.29,-0.06,300.42,275.57,280.97,279.74,-5.4,171.77,2012,1.7552,481.96
16,24/01/2012,481.96,494.23,-12.27,299.21,274.48,275.57,280.97,-1.09,170.49,2012,1.7585,481.72
17,25/01/2012,481.72,481.96,-0.24,297.71,273.65,274.48,275.57,-0.83,169.15,2012,1.7605,481.63
18,26/01/2012,481.63,481.72,-0.09,292.90,275.44,273.65,274.48,1.79,168.14,2012,1.7505,479.82
19,27/01/2012,479.82,481.63,-1.81,284.52,271.47,275.44,273.65,-3.97,163.33,2012,1.7374,472.9
20,30/01/2012,472.9,479.82,-6.92,283.39,269.39,271.47,275.44,-2.08,162.03,2012,1.75,471.16
21,31/01/2012,471.16,472.9,-1.74,278.73,268.79,269.39,271.47,-0.6,159.73,2012,1.7472,469.04
22,01/02/2012,469.04,471.16,-2.12,264.74,266.9,268.79,269.39,-1.89,152.76,2012,1.7342,462.54
23,02/02/2012,462.54,469.04,-6.5,262.84,268.37,266.9,268.79,1.47,152.64,2012,1.7195,462.13
24,03/02/2012,462.13,462.54,-0.41,264.90,269.88,268.37,266.9,1.51,154.28,2012,1.7161,463.39
25,06/02/2012,463.39,462.13,1.26,263.74,266.08,269.88,268.37,-3.8,152.72,2012,1.7266,459.52
26,07/02/2012,459.52,463.39,-3.87,268.19,268.89,266.08,269.88,2.81,155.56,2012,1.726,463.56
27,08/02/2012,463.56,459.52,04.04,267.01,269.78,268.89,266.08,0.89,155.24,2012,1.7214,464.01
28,09/02/2012,464.01,463.56,0.45,269.12,272.89,269.78,268.89,3.11,156.65,2012,1.7163,468.82
29,10/02/2012,468.82,464.01,4.81,269.16,270.28,272.89,269.78,-2.61,156.03,2012,1.7208,466.24
30,13/02/2012,466.24,468.82,-2.58,268.74,268.23,270.28,272.89,-2.05,156.61,2012,1.7165,460.29
31,14/02/2012,460.29,466.24,-5.95,271.65,262.13,268.23,270.28,-6.1,157.94,2012,1.7211,450.86
32,15/02/2012,450.86,460.29,-9.43,274.31,247.98,262.13,268.23,-14.15,159.12,2012,1.7289,427.51
33,16/02/2012,427.51,450.86,-23.35,275.40,242.5,247.98,262.13,-5.48,160.02,2012,1.7165,417.33
34,17/02/2012,417.33,427.51,-10.18,275.73,244.73,242.5,247.98,2.23,160.96,2012,1.715,419.23
35,22/02/2012,419.23,417.33,1.9,273.98,242.11,244.73,242.5,-2.62,160.60,2012,1.7064,413.03
36,23/02/2012,413.03,419.23,-6.2,274.03,244.59,242.11,244.73,2.48,160.16,2012,1.7137,418.49
37,24/02/2012,418.49,413.03,5.46,274.91,246.11,244.59,242.11,1.52,161.14,2012,1.7094,419.86
38,27/02/2012,419.86,418.49,1.37,273.91,243.86,246.11,244.59,-2.25,160.37,2012,1.7077,416.51
39,28/02/2012,416.51,419.86,-3.35,274.82,245.59,243.86,246.11,1.73,161.47,2012,1.695,417.99
40,29/02/2012,417.99,416.51,1.48,275.06,241.03,245.59,243.86,-4.56,160.29,2012,1.7174,413.6
41,01/03/2012,413.6,417.99,-4.39,275.82,243.92,241.03,245.59,2.89,161.11,2012,1.7138,417.6
42,02/03/2012,417.6,413.6,4,276.96,238.08,243.92,241.03,-5.84,159.81,2012,1.7311,412.59
43,05/03/2012,412.59,417.6,-5.01,276.00,238.28,238.08,243.92,0.2,158.99,2012,1.7394,413.66
44,06/03/2012,413.66,412.59,01.07,276.13,224.61,238.28,238.08,-13.67,156.89,2012,1.7584,395.32
