data,brl_price_yesterday,brl_price_yesterday-1,var_brl_price_yesterday,var_usd_price_yesterday,usd,brl_price
06/01/2012,476.49,481.49,-5,0.68,1.8579,481.91
09/01/2012,481.91,476.49,5.42,5.8,1.8329,488.41
10/01/2012,488.41,481.91,6.5,6.87,1.7995,491.5
11/01/2012,491.5,488.41,3.09,7.6,1803,504.65
12/01/2012,504.65,491.5,13.15,0.88,1778,501.74
13/01/2012,501.74,504.65,-2.91,-6.49,1.7849,492.34
16/01/2012,492.34,501.74,-9.4,-1.44,1.7859,487.57
17/01/2012,487.57,492.34,-4.77,0.15,1788,485.66
18/01/2012,485.66,487.57,-1.91,5.7,1.7649,492.43
19/01/2012,492.43,485.66,6.77,0.74,1.7655,494.29
20/01/2012,494.29,492.43,1.86,1.23,1.7548,494.23
23/01/2012,494.23,494.29,-0.06,-5.4,1.7552,481.96
24/01/2012,481.96,494.23,-12.27,-1.09,1.7585,481.72
25/01/2012,481.72,481.96,-0.24,-0.83,1.7605,481.63
26/01/2012,481.63,481.72,-0.09,1.79,1.7505,479.82
27/01/2012,479.82,481.63,-1.81,-3.97,1.7374,472.9
30/01/2012,472.9,479.82,-6.92,-2.08,1.75,471.16
31/01/2012,471.16,472.9,-1.74,-0.6,1.7472,469.04
01/02/2012,469.04,471.16,-2.12,-1.89,1.7342,462.54
02/02/2012,462.54,469.04,-6.5,1.47,1.7195,462.13
03/02/2012,462.13,462.54,-0.41,1.51,1.7161,463.39
06/02/2012,463.39,462.13,1.26,-3.8,1.7266,459.52
07/02/2012,459.52,463.39,-3.87,2.81,1726,463.56
08/02/2012,463.56,459.52,4.04,0.89,1.7214,464.01
09/02/2012,464.01,463.56,0.45,3.11,1.7163,468.82
10/02/2012,468.82,464.01,4.81,-2.61,1.7208,466.24
13/02/2012,466.24,468.82,-2.58,-2.05,1.7165,460.29
14/02/2012,460.29,466.24,-5.95,-6.1,1.7211,450.86
15/02/2012,450.86,460.29,-9.43,-14.15,1.7289,427.51
16/02/2012,427.51,450.86,-23.35,-5.48,1.7165,417.33
17/02/2012,417.33,427.51,-10.18,2.23,1715,419.23
22/02/2012,419.23,417.33,1.9,-2.62,1.7064,413.03
23/02/2012,413.03,419.23,-6.2,2.48,1.7137,418.49
24/02/2012,418.49,413.03,5.46,1.52,1.7094,419.86
27/02/2012,419.86,418.49,1.37,-2.25,1.7077,416.51
28/02/2012,416.51,419.86,-3.35,1.73,1695,417.99
29/02/2012,417.99,416.51,1.48,-4.56,1.7174,413.6
01/03/2012,413.6,417.99,-4.39,2.89,1.7138,417.6
02/03/2012,417.6,413.6,4,-5.84,1.7311,412.59
05/03/2012,412.59,417.6,-5.01,0.2,1.7394,413.66
06/03/2012,413.66,412.59,1.07,-13.67,1.7584,395.32
07/03/2012,395.32,413.66,-18.34,-2.38,1.7665,392.68
08/03/2012,392.68,395.32,-2.64,-0.1,1.7612,393.17
09/03/2012,393.17,392.68,0.49,-5.57,1.7914,386.34
12/03/2012,386.34,393.17,-6.83,-4.28,1.7995,383.17
13/03/2012,383.17,386.34,-3.17,3.76,1.7926,388.86
14/03/2012,388.86,383.17,5.69,-2.03,1.8054,387.15
15/03/2012,387.15,388.86,-1.71,0.75,1.7991,387.43
16/03/2012,387.43,387.15,0.28,-2.45,1.8003,382.59
19/03/2012,382.59,387.43,-4.84,-0.16,1.8215,382.73
20/03/2012,382.73,382.59,0.14,-2.54,1.8144,381.69
21/03/2012,381.69,382.73,-1.04,3.4,1.8226,387.47
22/03/2012,387.47,381.69,5.78,-9.93,1.8199,370.42
23/03/2012,370.42,387.47,-17.05,1.66,1.8106,370.58
26/03/2012,370.58,370.42,0.16,0.97,1.8175,373.36
27/03/2012,373.36,370.58,2.78,7.13,1.8219,385.88
28/03/2012,385.88,373.36,12.52,-5.41,1823,379.18
29/03/2012,379.18,385.88,-6.7,-3.73,1.8224,371.96
30/03/2012,371.96,379.18,-7.22,5.3,1.8264,381.84
02/04/2012,381.84,371.96,9.88,1.83,1.8329,386.44
03/04/2012,386.44,381.84,4.6,-1.6,1.8255,383.3
04/04/2012,383.3,386.44,-3.14,2.18,1.8263,386.25
05/04/2012,386.25,383.3,2.95,-1.9,1.8214,382.57
09/04/2012,382.57,386.25,-3.68,-3.06,1.8173,375.75
10/04/2012,375.75,382.57,-6.82,-1.13,1.8337,375.94
11/04/2012,375.94,375.75,0.19,1.7,1.8358,379.67
12/04/2012,379.67,375.94,3.73,0.39,1.8272,378.94
13/04/2012,378.94,379.67,-0.73,-0.71,1.8372,379.92
16/04/2012,379.92,378.94,0.98,-3.96,1.8478,373.24
17/04/2012,373.24,379.92,-6.68,-3.15,1.8612,370.05
18/04/2012,370.05,373.24,-3.19,-1.05,1879,372.66
19/04/2012,372.66,370.05,2.61,1.34,1.8806,376.98
20/04/2012,376.98,372.66,4.32,3.42,1.8724,380.78
23/04/2012,380.78,376.98,3.8,-1.25,1.8802,380.05
24/04/2012,380.05,380.78,-0.73,4.64,1.8821,389.2
25/04/2012,389.2,380.05,9.15,-5.56,1.8788,378.73
26/04/2012,378.73,389.2,-10.47,-1.03,1.8855,377.2
27/04/2012,377.2,378.73,-1.53,1.18,1.8861,379.61
30/04/2012,379.61,377.2,2.41,-0.12,1.9088,383.41
02/05/2012,383.41,379.61,3.8,0.74,1.9243,387.85
03/05/2012,387.85,383.41,4.44,-6.37,1.9085,374.43
04/05/2012,374.43,387.85,-13.42,-0.11,1.9275,375.21
07/05/2012,375.21,374.43,0.78,1.84,1.9194,378.93
08/05/2012,378.93,375.21,3.72,-0.85,1.9397,380.45
09/05/2012,380.45,378.93,1.52,-2.31,1.9715,380.83
10/05/2012,380.83,380.45,0.38,6.48,1.9529,390.53
11/05/2012,390.53,380.83,9.7,-3.37,1966,384.95
14/05/2012,384.95,390.53,-5.58,-1.56,1.9951,388.76
15/05/2012,388.76,384.95,3.81,-1.5,2.2017,388.3
16/05/2012,388.3,388.76,-0.46,0.76,2.2005,390.01
17/05/2012,390.01,388.3,1.71,-0.78,2.1992,388.07
